season,team_id,team_nm,team_location,team_nm_location,team_location_abbreviation,conference,division
2000,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,East
2001,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,East
2002,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2003,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2004,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2005,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2006,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2007,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2008,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2009,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2010,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2011,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2012,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2013,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2014,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2015,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2016,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2017,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2018,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2019,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2020,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2021,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2022,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2023,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2024,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2025,1,Cardinals,Arizona,Arizona Cardinals,ARI,NFC,West
2000,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,West
2001,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,West
2002,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2003,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2004,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2005,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2006,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2007,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2008,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2009,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2010,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2011,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2012,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2013,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2014,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2015,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2016,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2017,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2018,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2019,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2020,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2021,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2022,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2023,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2024,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2025,2,Falcons,Atlanta,Atlanta Falcons,ATL,NFC,South
2000,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,Central
2001,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,Central
2002,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2003,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2004,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2005,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2006,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2007,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2008,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2009,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2010,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2011,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2012,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2013,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2014,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2015,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2016,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2017,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2018,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2019,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2020,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2021,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2022,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2023,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2024,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2025,3,Ravens,Baltimore,Baltimore Ravens,BAL,AFC,North
2000,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2001,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2002,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2003,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2004,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2005,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2006,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2007,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2008,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2009,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2010,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2011,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2012,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2013,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2014,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2015,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2016,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2017,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2018,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2019,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2020,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2021,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2022,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2023,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2024,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2025,4,Bills,Buffalo,Buffalo Bills,BUF,AFC,East
2000,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,West
2001,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,West
2002,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2003,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2004,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2005,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2006,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2007,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2008,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2009,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2010,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2011,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2012,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2013,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2014,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2015,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2016,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2017,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2018,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2019,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2020,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
2021,5,Panthers,Carolina,Carolina Panthers,CAR,NFC,South
